Mes;Categor¡a;?tem;Referencia;Descripci¢n;Cantidad en Principal;Cantidad m¡nima en Principal;Cantidad m xima en Principal;Cantidad total;Cantidad en remisiones;Unidad;Estado;Costo promedio;Total
Mayo;EMPAQUES Y OTROS;GARRAFA;;;0;0;0;0;0;Unidad;Activo;5900;0
Mayo;EMPAQUES Y OTROS;GALON;;;-10;0;0;276;0;Unidad;Activo;1387,804991;-13878,05
Mayo;EMPAQUES Y OTROS;1 LIT C/PISTOLA;;;-2;10;30;-2;0;Unidad;Inactivo;1232,895738;-2465,79
Mayo;EMPAQUES Y OTROS;PETT 500 ML C/PISTOLA;;;-24;10;30;-24;0;Unidad;Inactivo;1217,666667;-29224
Mayo;EMPAQUES Y OTROS;JABONERO LIT C/CREMERA;;;0;6;20;0;0;Unidad;Activo;1857;0
Mayo;EMPAQUES Y OTROS;JABONERO 500 mL C/CREMERA;;;-10;6;20;-10;0;Unidad;Activo;1307;-13070
Mayo;EMPAQUES Y OTROS;JABONERO 300 ML C/CREMERA;;;0;0;0;0;0;Unidad;Activo;1184;0
Mayo;EMPAQUES Y OTROS;PETT 250 ML C/TAPA;;;5;10;30;5;0;Unidad;Activo;586;2930
Mayo;EMPAQUES Y OTROS;PETT 125 ML C/TAPA;;;-58;10;30;-58;0;Unidad;Activo;533,93105;-30968
Mayo;EMPAQUES Y OTROS;PETT 60 ML;;;1;10;30;1;0;Unidad;Activo;300;300
Mayo;EMPAQUES Y OTROS;ENVASE MUESTRA X 30 ML;;;29;30;100;29;0;Unidad;Activo;200;5800
Mayo;EMPAQUES Y OTROS;CREMERA;;;-2;10;20;314;0;Unidad;Activo;446,782327;-893,56
Mayo;EMPAQUES Y OTROS;500 BLANCO C/TAPA;;;0;0;0;0;0;Unidad;Activo;350;0
Mayo;EMPAQUES Y OTROS;FRASCO AMPOLLETA X 25ML;;;-509,48;50;300;-509,48;0;Unidad;Activo;299,489815;-152584,07
Mayo;EMPAQUES Y OTROS;DIFUSOR X 60 ML;;;288;50;300;288;0;Unidad;Activo;598,157429;172269,34
Mayo;EMPAQUES Y OTROS;FRASCO VIDRIO X 60 ML;;;-47;50;300;-47;0;Unidad;Activo;491,962359;-23122,23
Mayo;EMPAQUES Y OTROS;DIFUSOR LUJO;;;46;5;30;46;0;Unidad;Activo;1622,135922;74618,25
Mayo;EMPAQUES Y OTROS;TALQUERA PEQUE¥A;;;9;6;12;9;0;Unidad;Activo;823,076923;7407,69
Mayo;EMPAQUES Y OTROS;FRASCO BALSAMO/SHAMPO X 500 ML;;;7;6;12;7;0;Unidad;Activo;800;5600
Mayo;EMPAQUES Y OTROS;ENVASE CREMA X 125 ML;;;9;6;12;9;0;Unidad;Activo;1100;9900
Mayo;EMPAQUES Y OTROS;TAPA CREMERA DORADA;;;238;50;200;238;0;Unidad;Activo;121;28798
Mayo;EMPAQUES Y OTROS;FRASCO SPRAY X 30ML;;;4;12;24;4;0;Unidad;Activo;576;2304
Mayo;EMPAQUES Y OTROS;FRASCO SPRAY X 60 ML;;;14;10;30;14;0;Unidad;Activo;729,463586;10212,49
Mayo;EMPAQUES Y OTROS;FRASCO SPRAY  X 125 ML;;;12;10;30;12;0;Unidad;Activo;938,674997;11264,1
Mayo;EMPAQUES Y OTROS;FRASCO SPRAY X 250 ML;;;8;10;30;8;0;Unidad;Activo;1219,84;9758,72
Mayo;EMPAQUES Y OTROS;1/2 GALON;;;-5;0;0;56;0;Unidad;Activo;800,000032;-4000
Mayo;EMPAQUES Y OTROS;PISTOLA;;;-48;10;20;284;0;Unidad;Activo;390,956942;-18765,93
Mayo;EMPAQUES Y OTROS;ENVASE GEL X 300;;;0;1;5;36;0;Unidad;Activo;743,053216;0
Mayo;EMPAQUES Y OTROS;ENVASE GEL X 600;;;0;1;5;11;0;Unidad;Activo;1217,4;0
Mayo;EMPAQUES Y OTROS;TAMBOR;;;0;0;0;1;0;Unidad;Activo;70000;0
Mayo;EMPAQUES Y OTROS;TARRO VASELINA X 200 GR;;;0;0;0;22;0;Unidad;Activo;200;0
Mayo;EMPAQUES Y OTROS;TARRO VASELINA X 60 GR;;;0;0;0;20;0;Unidad;Activo;250;0
Mayo;AROMAS;AMBIENTADOR SPRAY BRISA MARINA 125ML;AS00BM;;1;2;4;1;0;Unidad;Activo;2681;2681
Mayo;AROMAS;AMBIENTADOR SPRAY BRISA MARINA 250ML;AS01BM;;3;1;2;3;0;Unidad;Activo;4980;14940
Mayo;AROMAS;AMBIENTADOR SPRAY BRISA MARINA 500ML;AS02BM;;0;1;1;0;0;Unidad;Activo;5824;0
Mayo;AROMAS;AMBIENTADOR SPRAY BRISA MARINA 60ML TORNIPERNOS;AS08BM;;0;2;10;0;0;Unidad;Inactivo;1597;0
Mayo;AROMAS;AMBIENTADOR SPRAY CANELA MANZANA 125ML;AS00CM;;0;0;0;0;0;Unidad;Inactivo;2786;0
Mayo;AROMAS;AMBIENTADOR SPRAY CANELA MANZANA 250ML;AS01CM;;0;0;0;0;0;Unidad;Inactivo;3577;0
Mayo;AROMAS;AMBIENTADOR SPRAY CANELA MANZANA 500ML;AS02CM;;0;0;0;0;0;Unidad;Inactivo;5824;0
Mayo;AROMAS;AMBIENTADOR SPRAY FRUTOS ROJOS 125ML;AS00FR;;-1;2;4;-1;0;Unidad;Activo;2880,869946;-2880,87
Mayo;AROMAS;AMBIENTADOR SPRAY FRUTOS ROJO 250ML;AS01FR;;0;1;2;0;0;Unidad;Activo;5227,540834;0
Mayo;AROMAS;AMBIENTADOR SPRAY FRUTOS ROJO 500ML;AS02FR;;0;0;0;0;0;Unidad;Activo;5824;0
Mayo;AROMAS;AMBIENTADOR SPRAY FRUTOS ROJO 60ML TORNIPERNOS;AS08FR;;0;5;10;0;0;Unidad;Inactivo;1597;0
Mayo;AROMAS;AMBIENTADOR SPRAY TALCO 125ML;AS00TB;;5;2;4;5;0;Unidad;Activo;2620,571429;13102,86
Mayo;AROMAS;AMBIENTADOR SPRAY TALCO 250ML;AS01TB;;3;1;2;3;0;Unidad;Activo;4949,36;14848,08
Mayo;AROMAS;AMBIENTADOR SPRAY TALCO 500ML;AS02TB;;0;1;2;0;0;Unidad;Activo;5824;0
Mayo;AROMAS;AMBIENTADOR SPRAY TALCO BB 60ML TORNIPERNOS;AS08TB;;0;5;10;0;0;Unidad;Inactivo;1597;0
Mayo;AROMAS;AMBIENTADOR SPRAY FRESA 60ML TORNIPERNOS;AS08F;;0;0;0;0;0;Unidad;Inactivo;1597;0
Mayo;AROMAS;AMBIENTADOR SPRAY CHICLE 60ML TORNIPERNOS;AS08CH;;0;0;0;0;0;Unidad;Inactivo;1597;0
Mayo;AROMAS;AMBIENTADOR SPRAY CARRO PERFUMADO 60ML TORNIPERNOS;AS08CPF;;0;0;0;0;0;Unidad;Inactivo;1150;0
Mayo;AROMAS;AMBIENTADOR SPRAY FRUTAS AMAZONICAS 60 ML TORNIPERNOS;AS08N;;0;0;0;0;0;Unidad;Inactivo;1597;0
Mayo;ROPA;BLANQUEADOR 1 L;BL03;;0;13;26;0;0;Unidad;Activo;1484;0
Mayo;ROPA;BLANQUEADOR GALON;BL05;;41;22;44;41;0;Unidad;Activo;4617,759496;189328,14
Mayo;ROPA;BLANQUEADOR GARRAFA;BL06;;7;3;6;7;0;Unidad;Activo;17540,02381;122780,17
Mayo;HOGAR;CERA AUTOBRILLANTE 500 ML;C02;;11;3;6;11;0;Unidad;Activo;1897,356043;20870,92
Mayo;HOGAR;CERA AUTOBRILLANTE 1 LIT;C03;;16;2;4;16;0;Unidad;Activo;3207,577966;51321,25
Mayo;HOGAR;CERA AUTOBRILLANTE 2 LIT;C04;;2;0;0;2;0;Unidad;Activo;4841,333333;9682,67
Mayo;HOGAR;CERA AUTOBRILLANTE GALON;C05;;7;3;6;7;0;Unidad;Activo;9094,877273;63664,14
Mayo;HOGAR;CERA AUTOBRILLANTE GARRAFA;C06;;0;0;0;0;0;Unidad;Activo;33203;0
Mayo;VEHICULOS;DESENGRASANTE MULTIPROPOSITO 1 L;DG03;;20;3;6;20;0;Unidad;Activo;3053,943316;61078,87
Mayo;VEHICULOS;DESENGRASANTE MULTIPROPOSITO 2 L;DG04;;3;1;2;3;0;Unidad;Activo;4649,81258;13949,44
Mayo;VEHICULOS;DESENGRASANTE MULTIPROPOSITO GALON;DG05;;11;9;18;11;0;Unidad;Activo;7988,050897;87868,56
Mayo;VEHICULOS;DESENGRASANTE MULTIPROPOSITO GARRAFA;DG06;;1;3;6;1;0;Unidad;Activo;41146;41146
